$BUILT                                             2012-03-11 20:00:02
$AUTHOR                                                     Nortaneous
$GERMAN                                                               
$ENGLISH                                            Castles in the Sky
:bitmap/matt/09 - Marble/001d:                           344         0
:bitmap/matt/09 - Marble/001d:                           372        16
:bitmap/matt/09 - Marble/001d:                           372         0
:bitmap/matt/09 - Marble/08b:                              0       352
:bitmap/matt/09 - Marble/08b:                             64       352
:bitmap/matt/09 - Marble/08b:                            128       352
:bitmap/matt/09 - Marble/08b:                            192       352
:bitmap/matt/09 - Marble/08b:                            256       352
:bitmap/matt/09 - Marble/08b:                            320       352
:bitmap/matt/09 - Marble/08b:                            384       352
:bitmap/matt/09 - Marble/08b:                            448       352
:bitmap/matt/09 - Marble/08b:                            512       352
:bitmap/matt/09 - Marble/08b:                            576       352
:bitmap/matt/09 - Marble/08b:                            -32       384
:bitmap/matt/09 - Marble/08b:                             32       384
:bitmap/matt/09 - Marble/08b:                             96       384
:bitmap/matt/09 - Marble/08b:                            160       384
:bitmap/matt/09 - Marble/08b:                            224       384
:bitmap/matt/09 - Marble/08b:                            288       384
:bitmap/matt/09 - Marble/08b:                            352       384
:bitmap/matt/09 - Marble/08b:                            416       384
:bitmap/matt/09 - Marble/08b:                            480       384
:bitmap/matt/09 - Marble/08b:                            544       384
:bitmap/matt/09 - Marble/08b:                            608       384
:bitmap/matt/09 - Marble/14b:                              0       320
:bitmap/matt/09 - Marble/14b:                             32       288
:bitmap/matt/09 - Marble/16b:                             64       288
:bitmap/matt/09 - Marble/16b:                             96       320
:bitmap/matt/09 - Marble/08b:                             32       320
:bitmap/matt/09 - Marble/14b:                            128       320
:bitmap/matt/09 - Marble/14b:                            160       288
:bitmap/matt/09 - Marble/16b:                            192       288
:bitmap/matt/09 - Marble/16b:                            224       320
:bitmap/matt/09 - Marble/08b:                            160       320
:bitmap/matt/09 - Marble/14b:                            256       320
:bitmap/matt/09 - Marble/14b:                            288       288
:bitmap/matt/09 - Marble/16b:                            320       288
:bitmap/matt/09 - Marble/16b:                            352       320
:bitmap/matt/09 - Marble/08b:                            288       320
:bitmap/matt/09 - Marble/14b:                            384       320
:bitmap/matt/09 - Marble/14b:                            416       288
:bitmap/matt/09 - Marble/16b:                            448       288
:bitmap/matt/09 - Marble/16b:                            480       320
:bitmap/matt/09 - Marble/08b:                            416       320
:bitmap/matt/09 - Marble/14b:                            512       320
:bitmap/matt/09 - Marble/14b:                            544       288
:bitmap/matt/09 - Marble/16b:                            576       288
:bitmap/matt/09 - Marble/16b:                            608       320
:bitmap/matt/09 - Marble/08b:                            544       320
:bitmap/matt/09 - Marble/001d:                           372       304
:bitmap/matt/09 - Marble/001d:                           260       304
:bitmap/matt/09 - Marble/001d:                           288       272
:bitmap/matt/09 - Marble/001d:                           344       272
:bitmap/matt/09 - Marble/15b:                            590        48
:bitmap/matt/09 - Marble/17b:                            530        48
:bitmap/matt/09 - Marble/001d:                           288       240
:bitmap/matt/09 - Marble/001d:                           288       224
:bitmap/matt/09 - Marble/001d:                           288       208
:bitmap/matt/09 - Marble/001d:                           288       192
:bitmap/matt/09 - Marble/001d:                           288       176
:bitmap/matt/09 - Marble/001d:                           288       160
:bitmap/matt/09 - Marble/001d:                           288       144
:bitmap/matt/09 - Marble/001d:                           288       128
:bitmap/matt/09 - Marble/001d:                           288       112
:bitmap/matt/09 - Marble/001d:                           288        96
:bitmap/matt/09 - Marble/001d:                           288        80
:bitmap/matt/09 - Marble/001d:                           288        64
:bitmap/matt/09 - Marble/001d:                           288        48
:bitmap/matt/09 - Marble/001d:                           288        32
:bitmap/matt/09 - Marble/001d:                           288        16
:bitmap/matt/09 - Marble/001d:                           288         0
:bitmap/matt/09 - Marble/001d:                           316       240
:bitmap/matt/09 - Marble/001d:                           316       224
:bitmap/matt/09 - Marble/001d:                           316       208
:bitmap/matt/09 - Marble/001d:                           316       192
:bitmap/matt/09 - Marble/001d:                           316       176
:bitmap/matt/09 - Marble/001d:                           316       160
:bitmap/matt/09 - Marble/001d:                           316       144
:bitmap/matt/09 - Marble/001d:                           316       128
:bitmap/matt/09 - Marble/001d:                           316       112
:bitmap/matt/09 - Marble/001d:                           316        96
:bitmap/matt/09 - Marble/001d:                           316        80
:bitmap/matt/09 - Marble/001d:                           316        64
:bitmap/matt/09 - Marble/001d:                           316        48
:bitmap/matt/09 - Marble/001d:                           316        32
:bitmap/matt/09 - Marble/001d:                           316        16
:bitmap/matt/09 - Marble/001d:                           316         0
:bitmap/matt/09 - Marble/13b:                            574        48
:bitmap/matt/09 - Marble/11b:                            562        48
